url_key,name,brand_name,price,discount,thumbnail_url,rating_average,review_count
am-sieu-toc-inox-happy-time-sunhouse-htd1081-1-8-lit-hang-chinh-hang-p684651,Ấm Siêu Tốc Inox Happy Time Sunhouse HTD1081 (1.8 lít)- Hàng chính hãng,Sunhouse,139000,81000,https://salt.tikicdn.com/cache/280x280/ts/product/d0/8a/5a/df75c6bb50ef2f25d579a97d842e85c3.jpg,4.6,793
binh-dun-sieu-toc-sunhouse-htd1088-1-8-lit-hang-chinh-hang-p630207,Bình Đun Siêu Tốc Sunhouse HTD1088 (1.8 lít) - Hàng chính hãng,Sunhouse,149000,71000,https://salt.tikicdn.com/cache/280x280/ts/product/61/3d/d0/ed41b50c8033bf1c6bebdadd09ca4789.jpg,4.5,992
bep-tu-don-lock-lock-eji411-2000w-hang-chinh-hang-p36785535,Bếp Từ Đơn Lock&Lock EJI411 (2000W) - Hàng Chính Hãng,LocknLock,1089000,1099000,https://salt.tikicdn.com/cache/280x280/ts/product/08/85/02/907c1c12f962360970ba54f733623186.jpg,4.7,780
noi-chien-khong-dau-dien-tu-lock-lock-ejf296blk-7-2-lit-kem-chao-nuong-hang-chinh-hang-p71159586,Nồi Chiên Không Dầu Điện Tử Lock&Lock EJF296BLK (7.2 Lít) - Kèm Chảo Nướng - Hàng Chính Hãng,LocknLock,2289000,3336000,https://salt.tikicdn.com/cache/280x280/ts/product/ab/eb/d7/d4fae19ee06d0db50e69e563aa5ebc23.jpg,4.7,2536
noi-com-dien-mini-lock-lock-ejr426-dung-tich-0-8-lit-hang-chinh-hang-p68771348,Nồi Cơm Điện Mini Lock&Lock EJR426 Dung Tích 0.8 lít (Hàng chính hãng),LocknLock,569000,431000,https://salt.tikicdn.com/cache/280x280/ts/product/76/8b/32/165380b34689d4312dbfc90b3143c2a3.png,4.8,266
lo-vi-song-sharp-r-208vn-ws-20l-hang-chinh-hang-p48962414,Lò Vi Sóng Sharp R-208VN-WS (20L) - Hàng Chính Hãng,Sharp,1240000,320000,https://salt.tikicdn.com/cache/280x280/ts/product/c5/3f/70/c780947901d8abd73f4f9a6c83d61234.jpg,4.7,326
quat-mini-de-ban-quat-usb-tich-dien-cam-tay-ctfast-m105i-thiet-ke-thong-minh-3-toc-do-lam-mat-chat-lieu-cao-cap-ben-bi-dieu-chinh-360-do-khong-gay-on-pin-sac-1200mah-de-dang-mang-theo-su-dung-hang-chinh-hang-p104850983,"Quạt mini để bàn, quạt USB tích điện cầm tay CTFAST - M109 : Thiết kế thông minh 3 tốc độ làm mát, chất liệu cao cấp bền bỉ, điều chỉnh 360 độ, không gây ồn, pin sạc 1200mah, dễ dàng mang theo sử dụng - hàng chính hãng",CTFAST,140000,59000,https://salt.tikicdn.com/cache/280x280/ts/product/4c/00/7b/7a29188437fd5314ab3d4bd9d5723bd8.png,4.7,135
noi-chien-khong-dau-ket-hop-chuc-nang-hap-lock-lock-ejf881-7-lit-hang-chinh-hang-p113271935,Nồi Chiên Không Dầu Kết Hợp Chức Năng Hấp Lock&Lock EJF881BLK 7L,LocknLock,2979000,3511000,https://salt.tikicdn.com/cache/280x280/ts/product/a8/3c/59/929137df481694d8a6d502695d90eebd.jpg,4.6,587
ban-ui-hoi-nuoc-cam-tay-gap-gon-p52087357,Bàn Ủi Hơi Nước Cầm Tay Gấp Gọn,OEM,232000,158000,https://salt.tikicdn.com/cache/280x280/ts/product/d7/80/f5/82ea3c3f2ab23dd54d6d6c14f4807eb9.jpg,4.6,184
lo-vi-song-sharp-r-205vn-s-20l-hang-chinh-hang-p414764,Lò Vi Sóng Sharp R-205VN(S) - 20L - Hàng chính hãng,Sharp,1320000,370000,https://salt.tikicdn.com/cache/280x280/ts/product/4f/25/95/a569eb6c41f6fb2b1d42c5433441fb8b.jpg,4.7,1198
